sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.0126;4.3056;8.9862;-0.0831;4.3736;8.777;0.0153;-0.0625;0.2897;0.0529;-0.1402;0.0803;89.0;-21.36;-115.43;-66.03;163.62;-26.49;0.54;5.0;34.507;42.490936;-83.281166;583.87;689.9419180434625;0.0;14.680644;;14 / 23;7;2018-04-03 08:07:41:672
1.0522;4.4181;8.549;0.3771;4.4599;8.7257;0.6919;-9.0E-4;-0.0189;-0.2065;-0.3698;-0.4078;95.0;-25.64;-118.06;-64.19;162.91;-27.05;-2.47;5.0;34.308;42.490936;-83.281166;583.87;689.9419180434625;0.0;14.680644;;14 / 23;506;2018-04-03 08:07:42:171
-2.1183;3.6901;6.9194;-0.73;5.7076;7.9411;-1.5767;-1.7303;-1.189;-0.348;0.3199;1.8161;26.0;-24.9;-115.98;-66.29;151.68;-35.59;5.25;5.0;36.61;42.490936;-83.281166;583.87;689.9419180434625;0.0;14.680644;;14 / 23;1007;2018-04-03 08:07:42:672
-2.1368;5.0414;14.1565;-1.2524;5.1044;8.2793;-0.6814;-0.0164;4.0478;-0.0927;0.5505;-0.2069;30.0;-16.02;-116.46;-65.69;158.83;-31.37;8.6;5.0;47.652;42.490936;-83.281166;583.87;689.9419180434625;0.0;14.680644;;14 / 23;1507;2018-04-03 08:07:43:172
-2.397;4.1393;8.5071;-2.3591;4.1621;8.5605;-0.0807;0.0136;0.0233;-0.0028;0.001;0.0031;62.0;-7.63;-113.69;-64.05;162.41;-25.11;15.41;5.0;43.152;42.490936;-83.281166;583.87;689.9419180434625;0.0;14.680644;;14 / 23;2006;2018-04-03 08:07:43:671
-2.3498;4.1453;8.4413;-2.3891;4.1705;8.5481;0.0214;-4.0E-4;-0.0705;-0.002;0.0012;0.0034;62.0;-9.84;-114.05;-64.34;161.02;-25.17;15.62;5.0;34.726;42.490936;-83.281166;583.87;689.9419180434625;0.0;14.680644;;14 / 23;2506;2018-04-03 08:07:44:171
-2.3701;4.1304;8.4784;-2.4291;4.1766;8.5338;0.048;-0.0282;6.0E-4;-0.001;4.0E-4;0.003;85.0;-10.49;-114.18;-64.44;160.91;-25.21;15.77;5.0;36.971;42.490936;-83.281166;583.87;689.9419180434625;0.0;14.680644;;14 / 23;3007;2018-04-03 08:07:44:672
-2.4114;4.1549;8.4293;-2.4391;4.1772;8.5307;0.0311;-0.0276;0.0331;4.0E-4;0.001;0.0039;85.0;-10.96;-114.59;-64.39;160.4;-25.21;15.96;5.0;33.375;42.490936;-83.281166;583.87;689.9419180434625;0.0;14.680644;;14 / 23;3506;2018-04-03 08:07:45:171
-2.1829;4.1992;7.2736;-2.4434;4.1786;8.5287;-0.177;6.0E-4;0.0765;-0.001;-6.0E-4;0.0033;85.0;-11.08;-114.67;-64.71;160.11;-25.22;15.99;5.0;35.4;42.490936;-83.281166;583.87;689.9419180434625;0.0;14.680644;;13 / 23;4006;2018-04-03 08:07:45:671
-2.3713;4.1567;8.4652;-2.4427;4.1737;8.5313;-0.0718;-0.0093;0.1222;-0.0016;-0.0018;0.003;85.0;-11.74;-115.26;-64.04;159.81;-25.19;15.98;5.0;34.984;42.490936;-83.281166;583.87;689.9419180434625;0.0;14.680644;;13 / 23;4506;2018-04-03 08:07:46:171
-2.3905;4.1872;9.1932;-2.266;4.2167;8.5589;-0.0757;-0.0786;0.513;0.019;-0.091;-0.1216;77.0;-18.71;-117.23;-60.51;157.13;-25.18;16.0;5.0;34.846;42.490936;-83.281166;583.87;689.9419180434625;0.0;14.680644;;14 / 23;5007;2018-04-03 08:07:46:672
9.0741;3.6099;0.7214;4.1411;5.5031;6.9813;4.3576;-2.11;-6.2732;-1.4058;-5.7818;2.6517;66.0;-29.41;-134.91;-55.4;182.32;-34.14;-30.68;5.0;51.108;42.490936;-83.281166;583.87;689.9419180434625;0.0;14.680644;;14 / 23;5506;2018-04-03 08:07:47:171
2.4263;4.7932;8.0201;2.3542;4.839;8.1983;0.1408;-0.0386;-0.0949;-0.0037;0.0013;0.0042;58.0;-41.81;-138.6;-52.91;164.05;-29.57;-16.02;5.0;36.686;42.490936;-83.281166;583.87;689.9419180434625;0.0;14.680644;;14 / 23;6007;2018-04-03 08:07:47:672
2.4885;4.7459;8.1487;2.3645;4.8253;8.2034;0.129;-0.0363;-0.034;-0.0016;0.0016;0.0035;51.0;-40.86;-134.76;-55.38;164.3;-29.47;-16.08;5.0;33.75;42.490936;-83.281166;583.87;689.9419180434625;0.0;14.680644;;14 / 23;6507;2018-04-03 08:07:48:172
2.4526;4.7878;8.2032;2.3719;4.8063;8.2125;0.0585;0.0011;0.0705;-1.0E-4;3.0E-4;0.0045;47.0;-40.27;-134.14;-55.91;164.93;-29.35;-16.11;5.0;34.556;42.490936;-83.281166;583.87;689.9419180434625;0.0;14.680644;;15 / 23;7006;2018-04-03 08:07:48:671
2.4514;4.7537;8.1906;2.3752;4.8064;8.2114;0.093;-0.0462;0.0556;-0.0036;4.0E-4;0.0043;42.0;-40.66;-133.52;-56.86;164.41;-29.35;-16.13;5.0;42.501;42.490936;-83.281166;583.87;689.9419180434625;0.0;14.680644;;15 / 23;7506;2018-04-03 08:07:49:171
2.3192;4.8913;8.2104;2.3744;4.8054;8.2122;-0.1162;0.0824;-0.0691;-1.0E-4;5.0E-4;0.0042;44.0;-43.23;-130.74;-60.81;162.99;-29.34;-16.13;5.0;39.043;42.490936;-83.281166;583.87;689.9419180434625;0.0;14.680644;;14 / 23;8007;2018-04-03 08:07:49:672
2.3413;4.7226;8.2421;2.3743;4.8007;8.215;0.106;0.0301;-0.1868;-0.0016;0.0011;0.0037;46.0;-43.38;-130.03;-60.48;162.73;-29.31;-16.12;5.0;42.312;42.490936;-83.281166;583.87;689.9419180434625;0.0;14.680644;;14 / 23;8507;2018-04-03 08:07:50:172
2.2911;4.798;8.1517;2.3815;4.7952;8.2161;-0.1009;0.0028;-0.1076;1.0E-4;-8.0E-4;0.0047;47.0;-41.15;-131.92;-57.1;164.15;-29.27;-16.16;5.0;42.787;42.490936;-83.281166;583.87;689.9419180434625;0.0;14.680644;;14 / 23;9007;2018-04-03 08:07:50:672
